['Archives West: Spontaneous Productions Records, 1997-2007']   ['Gay theater--Idaho--Boise', 'Gays', 'Gays--Idaho']
['Archives West: Dorys Crow Grover Papers and Collections on Vardis Fisher and Ernest Hemingway, 1965-1995']   ['Fisher, Vardis, 1895-1968--Correspondence', 'Fisher, Vardis, 1895-1968--Criticism and interpretation', 'Flora, Joseph M.--Correspondence', 'Hemingway, Ernest, 1899-1961']
['Archives West: Virginia Stumbough Papers, 1930-1990']   ['American literature--20th century', 'American Literature--Idaho', 'Children’s literature, American', 'Extrasensory perception', 'Schweitzer, Albert, 1875-1965--Correspondence', 'Widowhood']
['Archives West: Mont M. Warner Collection on Oil Shale in Southern Idaho, 1981']   ['Geothermal resources--Idaho', 'Oil-shales--Idaho']
['Archives West: Gloria Skurzynski Papers, 1978-2010, bulk 2002-2010']   ['Aerospace engineers--Biography', 'Authors, American--Idaho', 'Idaho', 'Literature', 'NASA', 'Rocketry--History', 'Science']
['Archives West: Lyle Smith Papers, 1926-2000']   ['Boise (Idaho)', 'Boise Junior College--Football', 'Football', 'Sport', 'United States. Navy--Physical training']
['Archives West: Hummel, Hummel and Jones Collection, 1939-1982']   ['Architectural firms--Idaho--Boise--History', 'Boise State University--Buildings', 'Hummel Architects (Boise, Idaho)', 'Hummel, Charles Frederick, 1925-', 'Hummel, Frank', 'Hummel, Hummel, Jones and Shawver (Boise, Idaho)', 'Public buildings--Idaho- Boise--Design and construction', 'Tourtellotte & Hummel']
['Archives West: Gracie Pfost Papers, 1936-1973']   ['Idaho--Politics and government--20th century', 'Legislators--United States--Archives', 'Political campaigns--Idaho']
['Archives West: Northwest Association of Junior Colleges Records, 1938-1948']   ['Canada--Education--Junior colleges', 'Chaffee, Eugene B. (Eugene Bernard), 1905-', 'Junior colleges--Canada', 'Junior colleges--Societies', 'Junior colleges--West (U.S.)', 'Northwestern States--Societies, etc.--Education', 'West (U.S.)--Education--Junior colleges', 'World War, 1939-1945--Education and the war']
['Archives West: Morrison Center Records, 1974-2014']   []
['Archives West: Harry and Ann Morrison Papers, Unknown']   []
['Archives West: Richard C. Renstrom Papers, 1963-2001']   ['Antique and classic motorcycles', 'Authors, American--Idaho', 'Motorcycles', 'Recreation', 'Wildlife conservation--Idaho']
['Archives West: Anthropology and Ethnography Collection, 1993-2004']   []
['Archives West: Nell Shipman Papers, 1912-1970']   ['American literature--20th century', 'Anti-communist movements--United States', 'Ayers, Charles Douglas, 1926---Correspondence', 'Ayers, Charles H. Austin', 'Brown, Jesse H., 1901---Correspondence', 'California--Description and travel', 'Canada--Description and travel', 'Communism in literature', 'Curwood, James Oliver, 1878-1927--Correspondence', 'Feldman, Daphne Ayers, 1926-1990--Correspondence', 'Fulbright, Thomas--Correspondence', 'Idaho--Description and travel', 'MacVeagh, Lincoln, 1890-1972--Correspondence', 'McColl, Archibald M.S.--Correspondence', 'Motion picture industry--United States', 'Putnam, George Palmer, 1814-1872--Correspondence', 'Serrao, Amerigo, d. 1960--Correspondence', 'Shipman, Barry, 1912-1994--Correspondence', 'Silent films--Canada', 'Silent films--United States', 'Sorey, Vincent--Correspondence', 'Spain--Description and travel', 'Sparling, Gordon, 1900-1994--Correspondence', 'Uselton, Roi A.--Correspondence', 'Vernon, Grenville, 1883-1941--Correspondence', 'Walker, Joseph B.--Correspondence', 'Washington (State)--Description and travel', 'Watkins, Ann, 1885-1967--Correspondence', 'Wings in the dark (Motion picture)']
['Archives West: Tom Trusky Papers, 1984-2009']   ['Documentary films', 'Idaho--Literary collections', 'Shipman, Barry, 1912-1994--Correspondence', 'Shipman, Nell, 1892-1970', 'Silent films--Canada', 'Silent films--United States', 'Western films']
['Archives West: Pacific Northwest River Basins Commission Records, 1971-1979']   ['Pacific Northwest River Basins Commission', 'Water rights']
['Archives West: Michael Corrigan Papers, 1998-2017']   []
['Archives West: Grace Barringer Scrapbook on William E. Borah, 1926-1976']   ['Legislators--United States--Biography', 'United States. Congress. Senate--Biography']
['Archives West: Peter Beemer Music Manuscript, circa 1864']   ['Dance music--Idaho--Warren', 'Mining camps--Idaho--19th century', 'Sheet music--Idaho--Warren', 'Warren (Idaho)--Music.']
['Archives West: Susan Eastlake Papers, 1990-2015']   []
['Archives West: Idaho Health Information Systems Collection, 1966-1977']   ['Boise Area Medical Librarians', 'Idaho Association of Health Information Librarians', 'Medical librarians--Idaho--Societies, etc.', 'Medical literature--Idaho', 'Treasure Valley Medical Association']
['Archives West: Small Manuscripts and Subject Files, 1878-2016']   []
['Archives West: Len B. Jordan Papers, 1962-1972']   ['Basques', 'Conservation of natural resources--Idaho', 'Idaho--Politics and government', 'Legislators--United States--Correspondence', 'Public lands--Idaho', 'Water resources development--Idaho']
['Archives West: Dean Worbois Papers, 1982-2015']   ['Authors, American--Idaho', 'Boise (Idaho)--Buildings, structures, etc.', 'Boise (Idaho)--History']
['Archives West: Mabel Clore Collection on Vardis Fisher, 1927-1972']   ['American literature--20th century', 'American literature--Idaho', 'Authors, American--Idaho']
